flag	reason	name	person_id	person_name_he	confidence	source_edition	occurrences	context
HIGH	Likely place/adjectival form; verify not a person mention.	ברדיטשוב	Tsadik_023.001	הרב הקדוש מפינסק	0.556	shivheiZadikim2026-01-10	2	"פעם אחת בסעודת ליל שב""ק פתאום פתח הה״ק מו""ה ברוך זצ""ל ממעזבוז את פיו 					הק'. ואמר לפני כל החסידים שישבו ועמדו לפניו בזה""ל כל מי שידבר רעות על 					הרב מברדיטשוב הנני מבטיח לו להיות לו עוה״ב לשכרו. ע"
HIGH	Likely place/adjectival form; verify not a person mention.	רדיטשוב	Tsadik_023.001	הרב הקדוש מפינסק	0.625	shivheiZadikim2026-01-10	1	"פעם אחת בסעודת ליל שב""ק פתאום פתח הה״ק מו""ה ברוך זצ""ל ממעזבוז את פיו 					הק'. ואמר לפני כל החסידים שישבו ועמדו לפניו בזה""ל כל מי שידבר רעות על 					הרב מברדיטשוב הנני מבטיח לו להיות לו עוה״ב לשכרו. ע"
HIGH	Likely place/adjectival form; verify not a person mention.	אפטא	Tsadik_043.003	אברהם יהושע העשיל	0.667	Maasiot-veSihot-Zadikim2026-01-10	32	"מהרהצה""ק הרב ר׳ אלימלך זצ""ל 					ואחי׳ הרב ר׳ זוסי׳ זצ״ל. 					מהרבי ר׳ שמעלקי 					 ר׳ שלמה סופר. 					ר׳ צבי זצ״ל מזידיטשוב. 					ר' מענדיל זצ״ל מקאסיב 					ר' חיים 					הרהצ״ק מבארדיטשוב ז""ל 					ר"
HIGH	Likely place/adjectival form; verify not a person mention.	לאדי	Tsadik_027.001	הרב מלאדי	0.667	Shivhei-Harav2024-10-29	2	"והמה קצות דרכי ושבחי רבינו הקדוש הגאון                הישיש האלקי ר׳ שניאור זלמן                   מלאדי זצוק""ל בעהמ״ח                ספר התניא והשו״ע : אפס קצהו תראה מהקורות                אתו במאסר"
HIGH	Likely place/adjectival form; verify not a person mention.	ליזענסקי	Tsadik_019.001	אלימלך	0.714	shivheiZadikim2026-01-10	1	"וחיבק ונשק מאד לחתנו כי ראה שהוא בן יקר מאד שהציל אותו מבילבול רע כזה וכאשר 					באו לפני הרבי ר׳ אלימלך זצ""ל חידם פניהם בשמחה ונתן שלום להה״ק ר׳ לוי יצחק זצ""ל 					ולחמיו והוציא לפניו צרור כסף עם עשר"
MEDIUM	Orthographic/abbrev variant; likely person but fuzzy form.	מעלקיש	Tsadik_017.003	"מוהר""ש"	0.6	Shemen-Hatov2025-12-01_gemini	1	"היה גאון ומקובל גדול. ולמד עם אחיו 					הגדול הרב מנ״ש זצ״ל. והיה ביניהם 					אהבת דוד ויהונתן כאשר הביא בשבת 					אחים. ואדוני אבי סיפר לי הרבה מרוב 					קדושתו ופרישותו שאין לשער. ובנעוריו 					היה"
MEDIUM	Orthographic/abbrev variant; likely person but fuzzy form.	אליה	Biblical_Elijah	אליהו הנביא	0.667	Sipurei-Kdoshim-2025-11-28	2	יעזרינו ה׳ שיקוים בנו הכ' הנה אנכי שולח לכם את אליה וכו'
MEDIUM	Abbreviation variant; likely correct but should be confirmed.	מהרה״מ	Tsadik_002.001	בער המגיד הגדול ממעזריטש	0.667	Khal-Hasidim2024-9-25	1	איש אחד משועי ואצילי וילנא הבירה עבר דרך                         מעזריטש לעסקו וכאשר שמע מכל העם מפליאים לו מאד גדולת                     הרב המגיד נתיישב בדעתו לילך ולתהות על קנקנו ועל כי היה האיש
MEDIUM	Abbreviation variant; likely correct but should be confirmed.	הבעש״ע	Tsadik_001.001	ישראל בעל שם טוב	0.667	Maasiot-Pliot2026-01-10_corrected	1	"שלא לביישו וכאשר ראה אליהו הנביא ז""ל את מנהגו הטוב 					שבתגילה א""ע אליו ואמר דע שאני אליהו הנביא ובאתי לנסות אותך 					ובשכר זה שעמדת בנסיון גדול כזה לפי קדושתך ביראת שמים 					ואהבת ישראל תקועה בלבך"
MEDIUM	Abbreviation variant; likely correct but should be confirmed.	ארשב״י	Biblical_ShimonBarYochai	רשב״י	0.667	Shemen-Hatov2025-12-01_gemini	1	"היה גאון ומקובל גדול. ולמד עם אחיו 					הגדול הרב מנ״ש זצ״ל. והיה ביניהם 					אהבת דוד ויהונתן כאשר הביא בשבת 					אחים. ואדוני אבי סיפר לי הרבה מרוב 					קדושתו ופרישותו שאין לשער. ובנעוריו 					היה"
MEDIUM	Abbreviation variant; likely correct but should be confirmed.	"אריז""ל"	Rabbinic_AriZal	האר״י	0.75	Sipurim-Nehmadim20251129	10	"כתב בס׳ משנת חכמים מהרב הגאון ר׳ משה חאגיז זצ""ל 					סימן ר״כ וז״ל וכבר סיפר לי מפי מגידי אמת וזקני 					אותו דור דעה שבימי האריז""ל היה מעשה שאחד מן האנוסים 					שבא מפורטיגאל לגליל העליון בהעיר הקודש"
MEDIUM	Orthographic/abbrev variant; likely person but fuzzy form.	מאליהו	Biblical_Elijah	אליהו הנביא	0.75	Maasiot-Pliot2026-01-10	1	"א מעשה נוראה מהחכם הגדול קדוש אלקי רבינו אברהם בן עזרא. 					ב מעשה מהגאון המקובל הק׳ והטהור רבי נפתלי כ״ץ בעל סמיכות חכמים. 					ג מעשה בחסיד אחד ציוה את בנו לזרוק פתו במים כל ימיו ומקיים כבוד אב."
MEDIUM	Orthographic/abbrev variant; likely person but fuzzy form.	מרדכיס	Tsadik_012.301	מרדכי	0.75	Shemen-Hatov2025-12-01_gemini	1	"קט) עוד כ׳ ש""ב הג״מ יעקב לאנדא 					אבד״ק טשארטקוב הנ״ל וז״ל 					מלפנים כזאת בישראל כל דבר הצטרכות 					מהנהגות ועשיות העיר לא הי׳ נחתך אך 					עפ""י שר העיר. כי היה אז כמלך ושליט. 					והתערב בכל עני"
MEDIUM	Orthographic/abbrev variant; likely person but fuzzy form.	שמעלקיא	Tsadik_017.003	"מוהר""ש"	0.8	Shemen-Hatov2025-12-01_gemini	1	"קסב) כ׳ בס׳ עטרת צבי על הזוהר פ׳ 					תזריע וז״ל ראיתי למורי הקדוש 					מלובלין אשר לא הניח תפילין בעת המילה 					הגם שלא ראיתיו חולץ התפילין לשעת 					המילה אבל לא נזדמן לי זה אמנם ראיתיו 					שלא הנ"
LOW	Looks plausible; quick spot-check only.	אפטא זי״ע	Tsadik_043.003	אברהם יהושע העשיל	0.667	MaasyiotMzadikeiYesodeiOlam_20251128	1	"סיפר הרב הקדוש מורינו ורבינו רבי יצחק מנעסחיז מעשה נוראה 					מהרב הקדוש מאפטא זי״ע ואמר אשר מימות עולם לא 					היתה מעשה בזו בעת שהיה הרה״ק מאפטא בימיו עלומיו 					בהיותו עוד רב בקאלביסוב במדינת פולי"
LOW	Looks plausible; quick spot-check only.	הררמ״ל	Tsadik_084.001	"הרר""מ"	0.667	Shemen-Hatov2025-12-01_gemini	1	"כב) הרה""ק ר״מ מראזווידוב ש""ב 					סיפר לי בשם זקינו 					מראפשיץ. כי אחר הסתלקות הרר״ש. בא 					הה״ק ר' משה ליב מסאסוב אל הר״ר 					אלימלך והקשה הרר״א קושי׳ בתוה״ק 					אז א׳ הררמ״ל תירוץ. אז לא א' מא"
