rank	risk	tier	reason	name_heb	name_rom	occurrences	match_method	confidence	kima_id	kima_name_rom	kima_url	decision	correct_kima_id	notes
1	HIGH	grade_a	common-word / name homograph — text likely means the word, not the town	גליל		17	name_exact	0.95	1475	Galilee (Israel)	https://data.geo-kima.org/Places/Details/1475			
2	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	לאדי		11	fuzzy	0.95	21831	Lyady (Belarus)	https://data.geo-kima.org/Places/Details/21831			
3	HIGH	grade_a	common-word / name homograph — text likely means the word, not the town	יהודה		7	name_exact	0.95	5350	Judea (Region) (Israel)	https://data.geo-kima.org/Places/Details/5350			
4	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	אקופ	Okopy	7	fuzzy	1.0	78338	Okopy (Ukraine)	https://data.geo-kima.org/Places/Details/78338			
5	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	קוצי		6	fuzzy	0.95	14064	Coucy-le-Château-Auffrique (France)	https://data.geo-kima.org/Places/Details/14064			
6	HIGH	grade_a	common-word / name homograph — text likely means the word, not the town	חרן		3	name_exact	0.95	17893	Harran (Turkey)	https://data.geo-kima.org/Places/Details/17893			
7	HIGH	grade_a	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	לאדז		3	name_exact	0.95	179	Łódź (Poland)	https://data.geo-kima.org/Places/Details/179			
8	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	שעפס		3	fuzzy	0.95	16554	Sierpc (Poland : Powiat)	https://data.geo-kima.org/Places/Details/16554			
9	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	טאסט		3	fuzzy	0.95	23166	Toczek (Poland)	https://data.geo-kima.org/Places/Details/23166			
10	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	פלעם		3	fuzzy	1.0	77838	Falamya (West Bank)	https://data.geo-kima.org/Places/Details/77838			
11	HIGH	grade_a	very short Hebrew spelling (3 letters) — homograph / wrong-town risk	אור		2	name_exact	0.95	2334	Ur (Extinct city)	https://data.geo-kima.org/Places/Details/2334			
12	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	וינא		2	fuzzy	0.95	945	Vienna (Austria)	https://data.geo-kima.org/Places/Details/945			
13	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	פאנו		2	fuzzy	0.95	9794	Fano (Italy)	https://data.geo-kima.org/Places/Details/9794			
14	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	עמון		2	fuzzy	0.95	22019	Ammon (Kingdom)	https://data.geo-kima.org/Places/Details/22019			
15	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	דמתא		2	fuzzy	1.0	8964	Damietta (Egypt)	https://data.geo-kima.org/Places/Details/8964			
16	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	סכתה		2	fuzzy	1.0	6241	Sukhothai (Thailand)	https://data.geo-kima.org/Places/Details/6241			
17	HIGH	grade_a	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	מיצר		1	name_exact	0.95	23017	Meitsar (Israel)	https://data.geo-kima.org/Places/Details/23017			
18	HIGH	grade_a	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	עריש		1	name_exact	0.95	21859	ʻArish (Egypt)	https://data.geo-kima.org/Places/Details/21859			
19	HIGH	grade_a	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	זסלב		1	name_exact	0.95	15851	Izi︠a︡slav (Ukraine)	https://data.geo-kima.org/Places/Details/15851			
20	HIGH	grade_a	very short Hebrew spelling (3 letters) — homograph / wrong-town risk	שבא		1	name_exact	0.95	22875	Sheba (Kingdom)	https://data.geo-kima.org/Places/Details/22875			
21	HIGH	grade_a	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	אמסק		1	name_exact	0.95	639	Omsk (Russia)	https://data.geo-kima.org/Places/Details/639			
22	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	רמות		1	fuzzy	0.95	26781	Ramot Neibourhood (Beersheba, Israel)	https://data.geo-kima.org/Places/Details/26781			
23	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	כנען		1	fuzzy	1.0	86985	Canaan (Conn.)	https://data.geo-kima.org/Places/Details/86985			
24	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	חורב		1	fuzzy	1.0	19201	Kharrūb (Lebanon)	https://data.geo-kima.org/Places/Details/19201			
25	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	הגאו		1	fuzzy	0.95	1265	Hegau (Germany)	https://data.geo-kima.org/Places/Details/1265			
26	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	מופת		1	fuzzy	1.0	18531	Umm al-Raṣāṣ (Jordan)	https://data.geo-kima.org/Places/Details/18531			
27	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	פריץ		1	fuzzy	1.0	74203	Preetz (Schleswig-Holstein, Germany)	https://data.geo-kima.org/Places/Details/74203			
28	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	אַפטא		1	fuzzy	0.95	552	Opatów (Tarnobrzeg, Poland)	https://data.geo-kima.org/Places/Details/552			
29	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	מאור		1	fuzzy	0.95	23009	Ma'or (Israel)	https://data.geo-kima.org/Places/Details/23009			
30	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	ס שמו		1	fuzzy	1.0	9562	Soviet Union	https://data.geo-kima.org/Places/Details/9562			
31	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	ואמר		1	fuzzy	1.0	10531	Weimar (Thuringia, Germany)	https://data.geo-kima.org/Places/Details/10531			
32	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	פלים		1	fuzzy	1.0	77838	Falamya (West Bank)	https://data.geo-kima.org/Places/Details/77838			
33	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	מקוה		1	fuzzy	1.0	11433	Mukhā (Yemen)	https://data.geo-kima.org/Places/Details/11433			
34	MED	fuzzy_autolink	review the pick	מאגלניצא		38	fuzzy	1.0	18711	Mogielnica (Warsaw, Poland)	https://data.geo-kima.org/Places/Details/18711			
35	MED	fuzzy_autolink	review the pick	לויצק		13	fuzzy	1.0	18293	Drahichyn (Belarus)	https://data.geo-kima.org/Places/Details/18293			
36	MED	fuzzy_autolink	review the pick	מאגליניצא		13	fuzzy	1.0	18711	Mogielnica (Warsaw, Poland)	https://data.geo-kima.org/Places/Details/18711			
37	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	חמעלניק		11	name_exact	0.95	722	Chmielnik (Poland)	https://data.geo-kima.org/Places/Details/722			
38	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	מעזעריטש		11	name_exact	0.95	223	Międzyrzec Podlaski (Poland)	https://data.geo-kima.org/Places/Details/223			
39	MED	fuzzy_autolink	review the pick	דראהביטש		10	fuzzy	0.95	977	Drohobych (Ukraine)	https://data.geo-kima.org/Places/Details/977			
40	MED	fuzzy_autolink	review the pick	ווינאווי		6	fuzzy	0.6	945	Vienna (Austria)	https://data.geo-kima.org/Places/Details/945			
41	MED	fuzzy_autolink	review the pick	מעזיבוש		6	fuzzy	0.95	17325	Medz︠h︡ybiz︠h︡ (Ukraine)	https://data.geo-kima.org/Places/Details/17325			
42	MED	fuzzy_autolink	review the pick	יאמפאלא		6	fuzzy	0.95	13851	I︠A︡mpilʹ (Khmelʹnyt︠s︡ʹka oblastʹ, Ukraine)	https://data.geo-kima.org/Places/Details/13851			
43	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	דובנא		5	name_exact	0.95	895	Dubno (Ukraine)	https://data.geo-kima.org/Places/Details/895			
44	MED	fuzzy_autolink	review the pick	קארסטשוב	Korostyshiv	5	fuzzy	1.0	71244	Korostyshiv (Ukraine)	https://data.geo-kima.org/Places/Details/71244			
45	MED	fuzzy_autolink	review the pick	פילוב		5	fuzzy	0.95	8777	Puławy (Poland)	https://data.geo-kima.org/Places/Details/8777			
46	MED	fuzzy_autolink	review the pick	יעמניץ		5	fuzzy	0.95	19979	Jemnice (Czech Republic)	https://data.geo-kima.org/Places/Details/19979			
47	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	וארשא		4	name_exact	0.95	953	Warsaw (Poland)	https://data.geo-kima.org/Places/Details/953			
48	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	גלוגא		4	name_exact	0.95	21111	Głogów (Województwo dolnośląskie, Poland)	https://data.geo-kima.org/Places/Details/21111			
49	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	פרשעדבארז		4	name_exact	0.95	6378	Przedbórz (Piotrków Trybunalski, Poland)	https://data.geo-kima.org/Places/Details/6378			
50	MED	fuzzy_autolink	review the pick		Pavoloch	4	fuzzy	1.0	72894	Pavoloch (Ukraine)	https://data.geo-kima.org/Places/Details/72894			
51	MED	fuzzy_autolink	review the pick	טשירנאביל		4	fuzzy	1.0	15239	Chornobylʹ (Ukraine)	https://data.geo-kima.org/Places/Details/15239			
52	MED	fuzzy_autolink	review the pick	לעחוויץ		4	fuzzy	0.95	22491	Lyakhavichy (Belarus)	https://data.geo-kima.org/Places/Details/22491			
53	MED	fuzzy_autolink	review the pick	סעראצק		4	fuzzy	1.0	15085	Serock (Warsaw, Poland)	https://data.geo-kima.org/Places/Details/15085			
54	MED	fuzzy_autolink	review the pick	פראסקרוב		4	fuzzy	0.95	797	Khmelnytskyi (Ukraine)	https://data.geo-kima.org/Places/Details/797			
55	MED	fuzzy_autolink	review the pick	פשיסחא		4	fuzzy	0.95	18259	Przysucha (Poland)	https://data.geo-kima.org/Places/Details/18259			
56	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	חעלמא		3	name_exact	0.95	11264	Chełm (Lublin, Poland)	https://data.geo-kima.org/Places/Details/11264			
57	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	אמסטרדם		3	name_exact	0.95	550	Amsterdam (Netherlands)	https://data.geo-kima.org/Places/Details/550			
58	MED	fuzzy_autolink	review the pick	הראדענקע		3	fuzzy	1.0	332	Horodenka (Ukraine)	https://data.geo-kima.org/Places/Details/332			
59	MED	fuzzy_autolink	review the pick	יוזעפאף		3	fuzzy	0.95	845	Józefów (Poland)	https://data.geo-kima.org/Places/Details/845			
60	MED	fuzzy_autolink	review the pick	זלאזיץ		3	fuzzy	1.0	23797	Zaliztsi (Ukraine)	https://data.geo-kima.org/Places/Details/23797			
61	MED	fuzzy_autolink	review the pick	פינטשוב		3	fuzzy	0.95	1687	Pinczów (Poland)	https://data.geo-kima.org/Places/Details/1687			
62	MED	fuzzy_autolink	review the pick	מעזיבוזש		3	fuzzy	0.833	17325	Medz︠h︡ybiz︠h︡ (Ukraine)	https://data.geo-kima.org/Places/Details/17325			
63	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	וויניציא		2	name_exact	0.95	949	Venice (Italy)	https://data.geo-kima.org/Places/Details/949			
64	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	טיסמניץ		2	name_exact	0.95	671	Tysmenyt︠s︡i︠a︡ (Ukraine)	https://data.geo-kima.org/Places/Details/671			
65	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	מאהלוב		2	name_exact	0.95	10965	Mahili︠o︡ŭ (Belarus)	https://data.geo-kima.org/Places/Details/10965			
66	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	טאמשוב		2	name_exact	0.95	687	Tomaszów Lubelski (Poland)	https://data.geo-kima.org/Places/Details/687			
67	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	לוברטוב		2	name_exact	0.95	14510	Lubartów (Poland)	https://data.geo-kima.org/Places/Details/14510			
68	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	מינסק		2	name_exact	0.95	248	Minsk (Belarus)	https://data.geo-kima.org/Places/Details/248			
69	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	פרעמישלא		2	name_exact	0.95	424	Przemyśl (Poland)	https://data.geo-kima.org/Places/Details/424			
70	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	ראוונא		2	name_exact	0.95	1728	Rivne (Rivnensʹka oblastʹ, Ukraine)	https://data.geo-kima.org/Places/Details/1728			
71	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	הארחוב		2	name_exact	0.95	19255	Horokhiv (Ukraine)	https://data.geo-kima.org/Places/Details/19255			
72	MED	fuzzy_autolink	review the pick	זמיגראד	Nowy Żmigród	2	fuzzy	1.0	17046	Żmigród (Poland)	https://data.geo-kima.org/Places/Details/17046			
73	MED	fuzzy_autolink	review the pick		Obukhiv	2	fuzzy	1.0	90112	Obukhiv (Ukraine)	https://data.geo-kima.org/Places/Details/90112			
74	MED	fuzzy_autolink	review the pick	ווערחאווקע		2	fuzzy	1.0	23171	Verkhivka (Ukraine)	https://data.geo-kima.org/Places/Details/23171			
75	MED	fuzzy_autolink	review the pick	פולניא		2	fuzzy	1.0	86988	Falun (Sweden)	https://data.geo-kima.org/Places/Details/86988			
76	MED	fuzzy_autolink	review the pick	סאדיגארי		2	fuzzy	1.0	23506	Sadhora (Chernivtsi, Ukraine)	https://data.geo-kima.org/Places/Details/23506			
77	MED	fuzzy_autolink	review the pick	מגלניצא		2	fuzzy	1.0	18711	Mogielnica (Warsaw, Poland)	https://data.geo-kima.org/Places/Details/18711			
78	MED	fuzzy_autolink	review the pick	טארטשין		2	fuzzy	0.95	23561	Torczyn (Ukraine)	https://data.geo-kima.org/Places/Details/23561			
79	MED	fuzzy_autolink	review the pick	טארניגראד		2	fuzzy	1.0	19986	Tarnogród (Poland)	https://data.geo-kima.org/Places/Details/19986			
80	MED	fuzzy_autolink	review the pick	בית דוד		2	fuzzy	0.95	21192	Bet David (Jerusalem, Israel)	https://data.geo-kima.org/Places/Details/21192			
81	MED	fuzzy_autolink	review the pick	רומנוב		2	fuzzy	0.95	20961	Lenino (Mahili︠o︡ŭskai︠a︡ voblastsʹ, Belarus)	https://data.geo-kima.org/Places/Details/20961			
82	MED	fuzzy_autolink	review the pick	תורגמה		2	fuzzy	0.95	8120	Turkey	https://data.geo-kima.org/Places/Details/8120			
83	MED	fuzzy_autolink	review the pick	ווינא		2	fuzzy	0.95	945	Vienna (Austria)	https://data.geo-kima.org/Places/Details/945			
84	MED	fuzzy_autolink	review the pick	סאדיגורא		2	fuzzy	1.0	23506	Sadhora (Chernivtsi, Ukraine)	https://data.geo-kima.org/Places/Details/23506			
85	MED	fuzzy_autolink	review the pick	רומאנוב		2	fuzzy	0.833	20961	Lenino (Mahili︠o︡ŭskai︠a︡ voblastsʹ, Belarus)	https://data.geo-kima.org/Places/Details/20961			
86	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	פאלעסי	Polesia	1	name_exact	0.95	2192	Pripet Marshes (Belarus and Ukraine)	https://data.geo-kima.org/Places/Details/2192			
87	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	באר שבע		1	name_exact	0.95	699	Beersheba (Israel)	https://data.geo-kima.org/Places/Details/699			
88	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	יאססי		1	name_exact	0.95	669	Iași (Romania)	https://data.geo-kima.org/Places/Details/669			
89	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	מאורן		1	name_exact	0.95	16625	Mauern (Rennertshofen, Neuburg-Schrobenhausen, Germany)	https://data.geo-kima.org/Places/Details/16625			
90	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	קארלסבאד		1	name_exact	0.95	6093	Karlovy Vary (Czech Republic)	https://data.geo-kima.org/Places/Details/6093			
91	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	אורים		1	name_exact	0.95	701	Urim (Israel)	https://data.geo-kima.org/Places/Details/701			
92	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	קראסניבראד		1	name_exact	0.95	488	Krasnobród (Poland)	https://data.geo-kima.org/Places/Details/488			
93	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	הורדנא		1	name_exact	0.95	882	Hrodna (Belarus)	https://data.geo-kima.org/Places/Details/882			
94	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	רמתיים		1	name_exact	0.95	27010	Ramatayim (Hod Hasharon, Israel)	https://data.geo-kima.org/Places/Details/27010			
95	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	האנוי		1	name_exact	0.95	10462	Hanoi (Vietnam)	https://data.geo-kima.org/Places/Details/10462			
96	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	בילגורייא		1	name_exact	0.95	525	Biłgoraj (Poland)	https://data.geo-kima.org/Places/Details/525			
97	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	סאניק		1	name_exact	0.95	106	Sanok (Poland)	https://data.geo-kima.org/Places/Details/106			
98	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	טארנא		1	name_exact	0.95	765	Tarnów (Poland)	https://data.geo-kima.org/Places/Details/765			
99	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	דוקלא		1	name_exact	0.95	900	Dukla (Poland)	https://data.geo-kima.org/Places/Details/900			
100	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	פעטרבורג		1	name_exact	0.95	678	Saint Petersburg (Russia)	https://data.geo-kima.org/Places/Details/678			
101	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	הר ציון		1	name_exact	0.95	5920	Zion, Mount (Jerusalem, Israel)	https://data.geo-kima.org/Places/Details/5920			
102	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	פולדא		1	name_exact	0.95	85	Fulda (Germany)	https://data.geo-kima.org/Places/Details/85			
103	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	פרעמיסלא		1	name_exact	0.95	424	Przemyśl (Poland)	https://data.geo-kima.org/Places/Details/424			
104	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	גלילות		1	name_exact	0.95	24741	Gelilot (Israel)	https://data.geo-kima.org/Places/Details/24741			
105	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	אמדור		1	name_exact	0.95	19671	Indura (Belarus)	https://data.geo-kima.org/Places/Details/19671			
106	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	סיגוט		1	name_exact	0.95	99	Sighet (Romania)	https://data.geo-kima.org/Places/Details/99			
107	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	ירושלם		1	name_exact	0.95	691	Jerusalem (Israel)	https://data.geo-kima.org/Places/Details/691			
108	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	שפרעם		1	name_exact	0.95	261	Shefar'am (Israel)	https://data.geo-kima.org/Places/Details/261			
109	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	סטריא		1	name_exact	0.95	6993	Styria (Austria)	https://data.geo-kima.org/Places/Details/6993			
110	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	לאנדן		1	name_exact	0.95	688	London (England)	https://data.geo-kima.org/Places/Details/688			
111	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	פיעטרקאוו		1	name_exact	0.95	250	Piotrkow Trybunalski (Poland)	https://data.geo-kima.org/Places/Details/250			
112	MED	grade_a	exact-name match on a single Kima place — confirm it's the right same-name place	בעלזא		1	name_exact	0.95	18727	Belz (Ukraine)	https://data.geo-kima.org/Places/Details/18727			
113	MED	fuzzy_autolink	review the pick		Sokolivka	1	fuzzy	0.95	15206	Sokolivka (Vasylʹkivsʹkyĭ raĭon, Kiev, Ukraine)	https://data.geo-kima.org/Places/Details/15206			
114	MED	fuzzy_autolink	review the pick		Strážnice	1	fuzzy	0.95	22460	Strážnice (Czech Republic)	https://data.geo-kima.org/Places/Details/22460			
115	MED	fuzzy_autolink	review the pick	פואמארין		1	fuzzy	1.0	1996	Arno River (Italy)	https://data.geo-kima.org/Places/Details/1996			
116	MED	fuzzy_autolink	review the pick	לאדזיאן		1	fuzzy	1.0	76432	Lędziny (Katowice, Poland)	https://data.geo-kima.org/Places/Details/76432			
117	MED	fuzzy_autolink	review the pick	טריקאוו		1	fuzzy	1.0	82891	Túrkeve (Hungary)	https://data.geo-kima.org/Places/Details/82891			
118	MED	fuzzy_autolink	review the pick	זמיגראד		1	fuzzy	1.0	17046	Żmigród (Poland)	https://data.geo-kima.org/Places/Details/17046			
119	MED	fuzzy_autolink	review the pick	יאמפאלע		1	fuzzy	0.667	13851	I︠A︡mpilʹ (Khmelʹnyt︠s︡ʹka oblastʹ, Ukraine)	https://data.geo-kima.org/Places/Details/13851			
120	MED	fuzzy_autolink	review the pick	קאלביש		1	fuzzy	1.0	12127	Kalabishah (Egypt)	https://data.geo-kima.org/Places/Details/12127			
121	MED	fuzzy_autolink	review the pick	ק׳ מעזיבוז		1	fuzzy	0.714	17325	Medz︠h︡ybiz︠h︡ (Ukraine)	https://data.geo-kima.org/Places/Details/17325			
122	MED	fuzzy_autolink	review the pick	לעטיטשוב		1	fuzzy	0.95	18260	Letychiv (Ukraine)	https://data.geo-kima.org/Places/Details/18260			
123	MED	fuzzy_autolink	review the pick	ק' הארידענקא		1	fuzzy	0.75	332	Horodenka (Ukraine)	https://data.geo-kima.org/Places/Details/332			
124	MED	fuzzy_autolink	review the pick	מטשערנאביל		1	fuzzy	0.875	15239	Chornobylʹ (Ukraine)	https://data.geo-kima.org/Places/Details/15239			
125	MED	fuzzy_autolink	review the pick	פעטרקוב		1	fuzzy	0.95	250	Piotrkow Trybunalski (Poland)	https://data.geo-kima.org/Places/Details/250			
126	MED	fuzzy_autolink	review the pick	מאגלניצע		1	fuzzy	1.0	18711	Mogielnica (Warsaw, Poland)	https://data.geo-kima.org/Places/Details/18711			
127	MED	fuzzy_autolink	review the pick	רחיים		1	fuzzy	1.0	76260	Rakhme (West Bank)	https://data.geo-kima.org/Places/Details/76260			
128	MED	fuzzy_autolink	review the pick	פאסאליס		1	fuzzy	1.0	2139	Phaselis (Extinct city)	https://data.geo-kima.org/Places/Details/2139			
129	MED	fuzzy_autolink	review the pick	עמק עכור		1	fuzzy	1.0	77490	Achor Valley (West Bank)	https://data.geo-kima.org/Places/Details/77490			
130	MED	fuzzy_autolink	review the pick	ארבארי		1	fuzzy	1.0	6349	Örebro (Sweden)	https://data.geo-kima.org/Places/Details/6349			
131	MED	fuzzy_autolink	review the pick	הרדענקע		1	fuzzy	1.0	332	Horodenka (Ukraine)	https://data.geo-kima.org/Places/Details/332			
132	MED	fuzzy_autolink	review the pick	לאדיזין		1	fuzzy	0.95	23709	Ladyzhin (Ukraine)	https://data.geo-kima.org/Places/Details/23709			
133	MED	fuzzy_autolink	review the pick	הראדינקי		1	fuzzy	1.0	332	Horodenka (Ukraine)	https://data.geo-kima.org/Places/Details/332			
