story_id	tag	sonnet_confidence	sonnet_reasoning
Mifalot-HaZadikim_0027	folkloristics:story_type_advent	medium	The narrative is structurally organized around an arrival event — the Besht and disciples, lost in the forest, arrive at the mysterious hidden tzaddik's dwelling — making advent the pivotal plot mechanism, though without access to the project's precise definition of 'story_type_advent' some uncertainty remains.
Khal-Hasidim_0120	knowledge:esoteric	high	The story turns entirely on esoteric knowledge: the Besht perceives a heavenly accusation (קטרוג) blocking the prayers from ascending, understands its kabbalistic cause (the priest's lifelong ritual purity), and senses the precise moment it is resolved — all inaccessible to ordinary cognition.
Khal-Hasidim_0001	social:relations_with_non_jews	high	The story centrally depicts Rabbi Eliezer (the Besht's father) living for years among non-Jews as a slave and later a royal advisor, serving a non-Jewish master and a king, receiving a non-Jewish woman as a wife, and being bound by laws forbidding Jewish residence in that land — relations with non-Jews are the dominant narrative frame.
Khal-Hasidim_0111	ethics-and-emotions:virtues	medium	The story depicts genuine virtuous acts — the man's remorse, tearful confession, and willing acceptance of a penitential regimen — even though the dominant narrative arc concerns sin (striking one's father) and the fatal consequences of abandoning teshuvah.
Peer-MiKdoshim_0006	ethics-and-emotions:sadness	high	The story explicitly depicts R' David Pirkus's deep sadness and anguish ('התעצב מאוד אל לבו', 'גונח ודואג נוהם ושואג') as he despairs over his inability to provide for his daughter's wedding, a sustained emotional low point central to the narrative.
Sipurei-Zadikim_0011	ethics-and-emotions:fear	high	The story explicitly depicts the townspeople being seized with alarm and fright (ויחרדו את כל החרדה הזאת, ונתבהלו מאוד) when Rabbi Isser arrives unexpectedly on foot at the inn, making fear a concrete, named emotional event in the narrative.
Shivhei-Habesht_0172	social:disobedience	high	The wife Tovele explicitly disobeys her husband's attempt to stop her from going to the Besht at night — 'והבעל מנע אותה מלילך אבל היא לא השגיחה עליו והלכה' — a direct, plot-central act of disobedience against spousal authority.
Adat-Zadikim_0023	social:marital_relationship	high	The story centrally depicts Rabbi Chaim secretly arranging and entering a marriage (shidduch, wedding, and subsequent conjugal life), and his wife's role as a supportive spouse is explicitly mentioned.
Khal-Hasidim_0082	times:holidays	medium	Shabbat is central and narratively significant throughout the story — the Besht receives the tragic news on Erev Shabbat, goes to the mikveh, prays Mincha, recites Kabbalat Shabbat and Maariv with bitter weeping, and makes Kiddush in tears — though confidence is medium because 'holidays' may be intended to cover Yom Tov festivals rather than the weekly Shabbat.
Shivhei-Habesht_0020	experience:enthusiasm	medium	The Besht's prolonged, trembling, physically expressive prayer ('עומד ורועד ועשית כתנועותיך') is a recognizable depiction of enthusiastic/ecstatic worship, though the story's primary focus is on his mystical elevation of souls rather than enthusiasm as a standalone theme.
Khal-Hasidim_0146	social:relations_with_the_authorities	medium	The townspeople actively petition the King of Prussia's ministers for royal permission to bring his personal physician to the sick man — a substantive, plot-driving interaction with secular authorities — though it is secondary to the story's central themes of miraculous healing and spiritual transformation.
Khal-Hasidim_0111	folkloristics:story_type_prognostication	high	The Besht explicitly warns the man that if he deviates from the prescribed repentance regimen he will not live out the year — a central prognostication that is then fulfilled when the man abandons repentance and indeed dies before the year ends.
Khal-Hasidim_0167	supernatural:perception	high	The Rebbe (R' Leibs Sarahs) supernaturally perceives the destined match and visits the woman in waking apparitions (morning and evening) and dreams to reveal it, while the woman's deceased parents also appear in a dream to confirm his identity — all central to the plot, not incidental.
Khal-Hasidim_0009	social:relations_with_non_hasidim	medium	R' Gershon of Kitov's dismissal of the Besht as an am ha'aretz and his attempt to persuade his sister to divorce him is a significant and recurring plot element depicting social tension between the nascent Besht and the non-Hasidic Jewish establishment, making this more than incidental.
Shivhei-Habesht_0096A	social:relations_with_non_hasidim	high	The story centers on a Hasidic preacher (identified as a disciple of the Besht) visiting the Hamburg Jewish community, whose rabbi and parnas are clearly non-Hasidic, and depicts sustained interaction — negotiating permission to preach, being hosted for three weeks, and the rabbi's curiosity about and receptiveness to the Besht's teachings.
Khal-Hasidim_0170	social:marriage	high	A marriage proposal by a noblewoman's widow is the central narrative pivot — she offers the merchant wealth, status, and herself as a wife, he accepts and preparations begin, and his flight from this marriage (to avoid sin with a non-Jewish woman) is the very act of virtue that earns him his heavenly decree-power.
Khal-Hasidim_0239	ethics-and-emotions:fear	high	Fear is explicitly depicted: the nagid declares 'לבבי יהגה אימה' (my heart trembles with dread) fearing he will be deceived, the Hasid tells the nagid 'אל תבעתני' (do not frighten me), and the Hasid himself approaches the rebbe with 'חרדת שמחה' (trembling awe), making fear/dread a substantive emotional thread throughout the story.
Khal-Hasidim_0004	ethics-and-emotions:sadness	high	The guest explicitly suffers prolonged distress ('מצטער מאד') at being forced to spend Shabbat in the village, and the narrator emphasizes he 'could not remove his sorrow from his heart' ('לא היה יכול להסיר צערו מלבו') — sadness is a named, sustained element of the plot.
Shivhei-Habesht_0197	supernatural:miracle	high	The Besht passes his hand over the Mokhiah's face and supernaturally erases all the detailed secrets of the language of animals from his memory — a clear miraculous act — and is also seen with his face burning like torches during mystical unifications, a supernatural theophany.
Shivhei-Habesht_0045	folkloristics:story_type_prognostication	high	The story centrally depicts the Besht directing the emissaries via a three-day delay and an alternate route, which providentially leads them to their duke at exactly the right moment — a classic prognostication/prophetic guidance narrative where the holy man foresees the outcome and instructs accordingly.
Khal-Hasidim_0012	social:relations_with_non_jews	high	The story centrally depicts direct interaction with non-Jews: Haidamak bandits (גזלנים, היידאמאקעס) capture the Besht and R' Tzvi and nearly kill them, and an old non-Jewish captain (קפיטאן) with soldiers rescues them — both interactions are plot-driving, not incidental.
Shivhei-Habesht_0057	experience:visions	high	The story explicitly depicts R' Yitzchak receiving repeated post-mortem visitations from the deceased man, who appears to him, reveals his place in Gan Eden, discloses how Zohar passages are studied in heaven, and reports being elevated to higher worlds — constituting sustained visionary experience.
Shivhei-Habesht_0112	ethics-and-emotions:punishment	high	"The soul of the deceased is explicitly punished in Gan Eden — denied any resting place and driven from every seat — because he broke his solemn pledge (ת""כ) not to reveal what the Besht told him; this punishment is the central dramatic problem of the story."
Adat-Zadikim_0022	folkloristics:story_type_inauguration	high	The story centrally depicts the inauguration of Rabbi Moses (the Rema) as rabbi of Kraków — the delegation, ceremonial entry, bishop's approval, and his formal installation — making story-type inauguration the primary narrative frame.
Khal-Hasidim_0031	spaces:the_land_of_israel	high	"The story explicitly opens with Rabbi Gershon traveling from א""י (the Land of Israel) to חוץ לארץ, making it a named departure point in the narrative."
Khal-Hasidim_0046	supernatural:perception	high	The Besht explicitly states he suddenly saw the Angel of Death passing over R. Leibsh (וכשראיתי פתאום המה״מ), and earlier he had perceived no signs of death — both are direct depictions of supernatural perceptual ability.
Peer-MiKdoshim_0007	ethics-and-emotions:fear	medium	Fear appears explicitly: the nagid voices dread ('עוד לבבי יהגה אימה') that the Hasid will trick him, and the Hasid approaches the rebbe 'בחרדת שמחה' (trembling awe), but fear is incidental to the story's central theme of faith in the tzaddik versus skepticism.
Shivhei-Habesht_0060	supernatural:communicating_with_the_invisible	high	The woman explicitly speaks to her deceased husband at his grave, commanding him to go before the Throne of Glory and pray for their children — a direct, depicted act of communicating with the invisible (the dead); additionally, the Besht perceives the heavenly accusation (קיטרוג) against the doctor, and the woman's intercession is accepted on high, both involving transmission between the visible and invisible realms.
Shivhei-Habesht_0014	folkloristics:story_type_prognostication	high	The story's central scene is the Besht opening the Zohar and using it to divine the missing son's location and safety, explicitly explaining his clairvoyant ability as seeing 'the whole world' through the primordial light hidden in Torah — a textbook prognostication episode.
Khal-Hasidim_0169	ethics-and-emotions:virtues	high	The story centrally depicts virtues: Rabbi Leib's piety in prayer, his kindness in raising an orphan like a son, and his principled defense of heavenly honor — culminating in a moral teaching that a Torah scholar must not tolerate mockery of the holy in matters of Heaven.
Khal-Hasidim_0092	knowledge:practical_kabbalah	high	The Besht instructs R' Yechiel Michel to whisper a secret teaching into his laboring wife's ear to ensure a safe delivery and male child — a direct depiction of practical-kabbalistic use of esoteric formulae for a real-world outcome.
Khal-Hasidim_0169	social:inter_hasidic_inheritance_of_leadership	medium	The story's central conflict is triggered by the emergence of the Besht's grandsons R' Barukh and R' Efraim as recognized Hasidic leaders (inheriting the Besht's legacy), which R' Leib actively endorses and defends — making dynastic inter-Hasidic leadership inheritance a meaningful, not merely incidental, element.
Shivhei-Habesht_0199	spaces:heaven	medium	Heaven is explicitly depicted as a functional space that prayers must reach ('שיעלו תפילות למעלה') and where accusers (מקטרגים) operate, blocking those prayers — the entire plot hinges on this heavenly realm, even though the narrative stays on earth.
Khal-Hasidim_0080	supernatural:perception	high	Rabbi Nachman perceives the deceased Besht speaking to him and standing beside him at the grave — a visionary/supernatural perception not shared by his companion Rabbi Yosef.
Shivhei-Habesht_0015	ethics-and-emotions:shame	high	The story explicitly depicts the Besht publicly humiliating Rabbi David before the entire congregation on Yom Kippur ('לבזותו בפני כל עם ועדה'), causing him deep shame and distress ('היטב חרה עד מאוד'), which the Besht later explains was intentional — to break his heart and prevent foreign thoughts during prayer.
Khal-Hasidim_0239	social:poverty	high	Poverty is central to the story: the Hasid is explicitly described as wandering barefoot and in rags ('ערום ויחף'), carrying his belongings on his shoulders, and the wealthy nagid's mockery specifically targets his neglected livelihood and destitution ('עני ומחסור'), making the rich-poor contrast the narrative's main social dynamic.
Khal-Hasidim_0036	ethics-and-emotions:fear	high	Fear is explicitly and centrally depicted: the household members are terrified when the Besht orders Jacob to summon the Bishop ('ויחרדו כולם ולא נותרה בם נשמה'), the old woman cries out in dread of the anti-Jewish violence, and Jacob himself notes he went 'without fear' (בלא פחד) — implying the surrounding context was one of genuine mortal danger and terror.
Khal-Hasidim_0169	ethics-and-emotions:shame	high	The story centrally depicts the man's public disgrace and shame: he is visibly stripped of his honored role as prayer leader before the congregation, 'his heart fell within him,' he throws himself weeping at the Rabbi's feet, and is formally disowned — shame as both consequence and narrative climax.
Khal-Hasidim_0009	social:marriage	high	The story explicitly depicts the Besht's marriage: his wife is mentioned, and her brother R' Gershon actively tries to persuade her to divorce (להתגרש) the Besht, while she refuses out of loyalty — marriage and its potential dissolution are concrete plot elements.
Shivhei-Habesht_0184	characters-and-roles:hidden_righteous	high	The story explicitly depicts a mysterious, unnamed figure ('יונה') encountered in a hidden forest house who provides miraculous Shabbat hospitality and then is revealed by the Besht at the end to be the biblical prophet Jonah ben Amittai — a classic hidden righteous (nistar) figure.
Khal-Hasidim_0217	social:marriage	high	The nobleman's marriage is central to the plot: his new wife pressures him to expel the Jewish leaseholder under threat of leaving him ('אין את אישי ואנכי אינני אשתך'), and the story concludes with the nobleman confronting her about her malicious role and threatening to send her away.
Khal-Hasidim_0253	ethics-and-emotions:pride	high	Pride (גדלות) is the story's central ethical concern: R' Chaim explicitly says he feared falling into pride from his comfortable situation and prayed for humility instead, and Elijah the Prophet rebukes the Rema for the ostentatious conduct of his rabbinate, contrasting it with the humble, hidden lifestyle he prefers.
Khal-Hasidim_0193	ethics-and-emotions:lust	medium	The story depicts classic nocturnal demonic visitations that leave the man's shirt soaked and him physically exhausted each morning ('רטובה עלי הכתונת שלי עד כי היו יכולים לדחוק ממנה מדה מים'), and he admits habituation to pleasure from the encounters ('ההרגל הטביע בי להתענג מזה') — standard kabbalistic-Hasidic imagery for nocturnal sexual pollution caused by demonic forces, making lust a real though implicit theme rather than an incidental one.
Mifalot-HaZadikim_0026	folkloristics:story_type_virtues	medium	The story centrally dramatizes virtues — the student's unwavering emunah (faith) in his rebbe's instruction despite scandalous appearances, and the hidden tzaddik's humility and secret piety — making virtue the narrative engine, though the primary folk-type is more specifically the 'nistar' (hidden righteous person) motif.
Khal-Hasidim_0218	ethics-and-emotions:anger	high	The story explicitly states 'וחרה לו' (it angered him) when R' Israel sees R' Azriel sleeping instead of working, a direct and named depiction of anger that drives subsequent plot action.
Khal-Hasidim_0009	social:conflict	high	The story explicitly depicts several conflicts: R' Gershon of Kitov disparages the Besht as an ignoramus and pressures his sister to divorce him; the Besht clashes with the possessing spirit and with the Hasidim who override his judgment about the exorcism; and a non-Jew mocks the Jewish community's prayer.
Shivhei-Harav_0017	supernatural:communicating_with_the_invisible	high	The Rav dismisses the crowd and goes alone to the Besht's grave, where he privately communes there ('עשה כמה שעשה'), a clear depiction of communication with the deceased/invisible at a tzadik's tomb.
Mifalot-HaZadikim_0018	experience:revelation	high	The story centers on the Besht receiving a hidden mystical secret (סוד) that is forcibly revealed by the Satan ('מוכרח אני לגלות אתכם הסוד'), with the heavenly proclamation and the use of holy names (שמות הקדושים) constituting a direct, sustained depiction of revelation.
Shivhei-Habesht_0050A	knowledge:esoteric	high	The story explicitly depicts esoteric knowledge in action: the Besht sees and commands demonic spirits (מזיקים), and the spirits themselves reveal kabbalistic lore — that they were generated from the sinful thoughts (הרהורים) of a cantor's singer and the women who desired him, a distinctly esoteric doctrine about the demonic consequences of impure intention.
Khal-Hasidim_0243	characters-and-roles:hidden_righteous	high	The rindár (tavern keeper) is explicitly discussed as a possible 'מצדיקים נסתרים' (hidden righteous), and the entire story is structured around the Apter Rebbe's investigation and confirmation that this outwardly ordinary man possesses genuine holy power through his extraordinary bitachon — a textbook hidden-righteous narrative.
Shivhei-Habesht_0092	social:inter_hasidic	high	The story depicts direct interaction between multiple Hasidic masters (R' Mendl, the Rav, R' David of Linits, R' Fridel of Brod, R' Pinchas of Korets) — visiting, praying together, and the Rav praising fellow tsadikim's prayer, which is quintessentially inter-Hasidic social content.
Shivhei-Habesht_0197	experience:devekut	high	The story explicitly depicts the Besht performing yichudim with his face burning like torches ('פניו בוערות כלפידים'), a canonical Hasidic image of devekut, which so overwhelms the onlooker that he nearly falls from the ladder.
Khal-Hasidim_0140	ethics-and-emotions:virtues	high	The story centrally depicts multiple virtues in action: the Maggid's piety and trust in God, Rabbi Yaakov's compassion (נכמרו רחמיו) and courage in interceding despite fear, the Besht's generosity (12 gold coins per Shabbat, a costly diamond for healing), and mutual humility in the closing mutual-blessing scene.
Sipurei-Zadikim_0001	folkloristics:story_type_protection	medium	The story includes a central episode in which R. Leib Sarah's secretly visits the Duke's court — with the narrator noting the purpose 'is known to all our people,' strongly implying intercession/protection of the community — and he also physically protects his companion during the dangerous visit by instructing him to hold his belt; however, protection is one motif among several (miraculous travel, support of hidden tzaddikim, tikkun of wandering souls), so it is not the story's sole or dominant frame.
Peer-MiKdoshim_0018	folkloristics:story_type_virtues	medium	The story centrally depicts the Tzaddik's virtue of compassion (רחמנא לבא בעי) — he selflessly intervenes to help a destitute innkeeper by performing a pidyon through seemingly mundane acts, foregrounding his moral qualities as the narrative's explicit lesson, though the miraculous/wonder-tale elements are equally prominent.
Mifalot-HaZadikim_0042	ethics-and-emotions:pride	high	The two Chabad disciples' failure to show deference (הכנעה) to Rabbi Aaron of Karlin stems directly from pride in their own tradition's superior mystical depth, and the entire rebuke the Rebbe delivers is a response to that arrogance.
Shivhei-Habesht_0135	folkloristics:story_type_rapprochement	medium	The story's central arc is a rapprochement: R' Mikhl the Judge begins as a stubborn, debate-driven antagonist who refuses to concede truth, and through the Besht's intervention (removing his Torah knowledge and rebuking him) is brought to reconciliation with Hasidic values, ultimately becoming a 'complete righteous person' — a classic disciple-rapprochement structure, though embedded in a multi-episode journey narrative.
Peer-MiKdoshim_0007	ethics-and-emotions:punishment	high	The story depicts the Seer of Lublin publicly exposing and rebuking the wealthy scoffer, explicitly revealing his sins and shaming him — a direct moral punishment/reproof administered by the tzaddik.
Shivhei-Habesht_0207	spaces:mikveh	high	The mikveh is substantively depicted as a site of spiritual vision: R. Pinchas of Koretz deliberates whether to go to the mikveh, decides not to, and later deeply regrets it because he believes he would have received there the prophetic vision needed to save the Besht's life.
Sipurei-Zadikim_0006	social:retrospective_recognition	medium	The young man initially mocks R' Baruch and R' Ephraim as they rise to fame, but after Rabbi Leib's rebuke and social rupture, he comes to recognize their true holiness and seeks to go apologize to them — a retrospective recognition of their greatness he had dismissed; however, this recognition is secondary to the story's main focus on punishment for mocking holy figures.
Khal-Hasidim_0082	social:conflict	high	The story is centrally about a blood libel (עלילה) against a Jewish community resulting in martyrdom, an explicit oppressor/persecutor (הצורר המקטרג), and a preacher who 'stirred up strife' (ועורר מדנים) that directly caused the victims' deaths — conflict is the core engine of the narrative.
Shivhei-Habesht_0016	times:death	high	The story centrally depicts a deceased Hasid (חסיד אחד שנפטר) whose soul appears on the heavenly altar, with explicit discussion of death, the afterlife, and souls ascending between worlds.
Khal-Hasidim_0169	ethics-and-emotions:repentance	high	The young man explicitly attempts repentance — he falls at the rabbi's feet, weeps bitterly, offers to accept rebuke, and volunteers to go appease those he mocked — making repentance a central dramatic element, even though the rabbi refuses to accept it.
Khal-Hasidim_0158	ethics-and-emotions:virtues	high	The story centrally depicts multiple virtues — generosity (the rich brother's initial gift), compassion, forgiveness, and self-sacrifice (the righteous poor soul intercedes in the heavenly court, forgives the debt, and voluntarily accepts suffering in reincarnation to spare his cruel brother from punishment) — contrasted explicitly against the vice of cruelty and ingratitude.
Shivhei-Habesht_0020	social:inter_hasidic	high	The story depicts a direct personal interaction between two central Hasidic figures — Rabbi Gershon of Kutov and his brother-in-law the Baal Shem Tov — involving shared prayer, mystical instruction, and dialogue, which is paradigmatically inter-Hasidic.
Adat-Zadikim_0001	social:marriage	high	Marriage is directly and substantially depicted: the couple's marital bond, their agreement not to accept charity, their shared Sabbath joy including dancing together, and their childlessness/longing for a son are all central to the story's plot.
Shivhei-Habesht_0002	supernatural:communicating_with_the_invisible	high	The story explicitly depicts R' Adam performing a 'she'elat chalom' (dream inquiry) and receiving a heavenly answer directing him to pass his writings to the Besht, and later the Besht and the rabbi's son attempt to summon the 'Sar HaTorah' (angelic minister of Torah) — both are direct acts of communicating with invisible supernatural entities.
Shivhei-Harav_0018	folkloristics:story_type_death_of_the_tsaddik	high	The story explicitly narrates the death (פטירה/הסתלקות) of the Rebbe (Shneur Zalman of Liadi), including the circumstances of his final hours, his last words and writings, the moment he died, and the burial — this is a canonical 'death of the tsaddik' narrative.
Maase-Zadikim_0034	ethics-and-emotions:awe	high	Rabbi Shalom is explicitly described as greatly marveling ('ויתפלא מאוד') at the holiness of the Streliski Rebbe upon witnessing his ruach hakodesh — knowing the precise halakhic deliberation in Rabbi Shalom's mind during prayer — which is a direct depiction of awe.
Shivhei-Habesht_0193	social:relations_with_sinners	high	The Besht actively summons a sinner off the street, confronts him about striking his father, and personally prescribes his repentance regimen — a direct and substantive relation between the tzaddik and a sinner.
Khal-Hasidim_0253	characters-and-roles:hidden_righteous	high	R' Chaim bar Betzalel deliberately conceals his identity among simple folk, studies Torah in secret for two years, and Elijah the Prophet explicitly tells the Rema that he reveals himself only to those who are humble and whose deeds are hidden from all — making R' Chaim a paradigmatic 'hidden righteous' figure.
Maase-Zadikim_0008	ethics-and-emotions:pride	medium	The parable centrally depicts the king's son being banished for speaking carelessly and foolishly before his father (implying arrogance born of his privileged status), and the craftsman explicitly rebukes him for the shame of this failure given his high position — pride as a negative foil is meaningfully present, though the story's primary focus is on love of God and humility rather than pride per se.
Shivhei-Habesht_0097	ethics-and-emotions:fear	high	Fear is explicitly and centrally depicted: the community leaders 'were afraid lest accusations be made against them too' (מתפחדים שלא יעלילו גם עליהם), driving Rabbi David to flee toward Wallachia — fear of persecution is the narrative's inciting force.
Khal-Hasidim_0036	times:shabbat	high	Shabbat is a central, recurring setting of the story's frame narrative: the wealthy patron explicitly hosts Besht story-telling during all three Shabbat meals (סעודת שבת, סעודת שחרית של שבת, סעודה שלישית), and key plot events (Rabbi Yaakov's forgetting, the host's request, the eventual recollection) unfold across that Shabbat.
Sipurei-Zadikim_0004	ethics-and-emotions:anger	medium	The matchmaker's anger is explicitly depicted ('חרה לו') when he believes the avrech is mocking him, and is significant enough to drive a narrative moment — the avrech must calmly navigate it to advance the match.
Shivhei-Habesht_0021	spaces:the_land_of_israel	medium	"The Land of Israel (א""י) is explicitly named as the destination of the Besht's journey ('ונסע הבעש״ט לא""י ונשארתי משומם עד שחזר'), making it a real narrative event that shapes the story's timeline, though no scenes are actually set there."
Shivhei-Harav_0019	times:holidays	high	The story's climactic scene explicitly takes place on Hoshana Rabbah (הושענא רבה), with the rabbi praying, breaking the lulav, performing Hakafot, and dying on that holiday — the holiday is central to the narrative, not incidental.
Shivhei-Habesht_0012	folkloristics:story_type_revelation	high	The story's central dramatic arc is the nocturnal revelation of the Besht's hidden spiritual power — R. David witnesses a supernatural light (interpreted as divine presence/Shekhinah) emanating from the Besht, faints, and only then does the Besht reveal himself, making this a textbook revelation-of-the-tsaddik's-true-greatness story type.
Khal-Hasidim_0193	social:retrospective_recognition	high	The two learned Hasidic rabbis initially challenge the common-looking man's right to visit the Rebbe's grave ('what would someone like you want there?'), but after hearing his account they retrospectively recognize him as having a profound personal bond with the Rebbe — taking him along as a peer; this social reversal of status through belated recognition is the story's central dynamic.
Maase-Zadikim_0006	folkloristics:story_type_virtues	high	The story is explicitly structured around demonstrating the power of a single virtuous act (pidyon shvuyim / redemption of captives, combined with resisting sexual temptation), with the Rebbe's closing moral summary ('מזה המעשה יוכל האדם לדעת עד היכן כחו של מצוה אחת') confirming this is a canonical virtue-exemplum story type.
Khal-Hasidim_0080	folkloristics:story_type_death_of_the_tsaddik	high	The story explicitly and in detail depicts the death of R' Nachman — including that he died on Shabbat in Nemirov, R' Mendele Primislaner's vigil at his bedside, his studying Zohar at the moment of his soul's departure (יציאת נשמתו), and dying at Mincha time.
Shivhei-Habesht_0193	ethics-and-emotions:prohibitions	high	The story centers on a man who struck his father — explicitly called 'עבירה גדולה' — and then receives a penance regimen from the Besht, making a concrete Torah prohibition (hitting a parent) the narrative's core.
Sipurei-Zadikim_0004	experience:revelation	medium	The story contains multiple supernatural disclosures that constitute revelation experiences: the rebbe appears to the woman repeatedly with prophetic knowledge of her destined match, her deceased parents appear in a dream confirming his authority, and she receives a deathbed ultimatum vision — culminating in both spouses recognizing that divine providence ('מה' יצא הדבר') guided everything through the rebbe as its instrument.
Khal-Hasidim_0111	social:relations_with_sinners	high	The Besht actively summons and engages a man who struck his father, confronts him about his sin, and prescribes a penitential regimen — a direct, substantive relation between the tsadik and a sinner.
Shivhei-Habesht_0032	supernatural:communicating_with_the_invisible	high	The Besht explicitly states he prayed in the mikveh and received an answer from invisible/heavenly entities (והשיבו לי) explaining why the matter had been concealed from him — a direct, central depiction of bidirectional communication with the invisible realm.
Sipurei-Zadikim_0013	characters-and-roles:hidden_righteous	high	The story explicitly centers on a poor tailor (חייט) who is repeatedly described as a 'צדיק נסתר' (hidden righteous man), unknown to the community during his lifetime, whose true spiritual stature is only revealed at his death.
Mifalot-HaZadikim_0026	ethics-and-emotions:virtues	high	The story centrally depicts multiple virtues — humility (the hidden tzaddik disguised as a dissolute fool), faith/emunah (the disciple trusting his rebbe's dying instruction despite all appearances), and spiritual dedication — making virtues the core thematic substance of the narrative.
Shivhei-Habesht_0192	folkloristics:story_type_advent	medium	The story is structurally built around a series of arrivals — the sick woman's husband journeys to the Besht after hearing of him (petitioner-comes-to-wonder-worker advent), and the climactic healing is triggered by the pivotal advent of the nobleman at the inn during the snowstorm, which the Besht has orchestrated and waited for.
Shivhei-Harav_0017	times:historical_event	high	The story explicitly depicts Rabbi Shneur Zalman's first arrest and imprisonment in St. Petersburg (פעטערסבורג פעם הראשון), a documented historical event of 1798, as a substantive narrative element — not merely an incidental reference.
Shivhei-Habesht_0197	experience:visions	medium	The Mokhiach climbs to the Besht's room and sees him performing yichudim with his face blazing like torches (פניו בוערות כלפידים) — a supernatural visual apparition that causes near-collapse from fright; the text itself uses the word מראה ('sight/vision') for this encounter, making it a genuine if incidental visionary episode.
Adat-Zadikim_0008	ethics-and-emotions:fear	high	Fear is explicitly and dramatically depicted multiple times: the old woman cries out in terror that they will all be taken to slaughter, the people in the house are described as trembling with no spirit left in them (ויחרדו כולם ולא נותרה בם נשמה), and the townspeople are paralyzed with dread when the Besht sends Yaakov out to call the Bishop during the dangerous Christian holiday.
Khal-Hasidim_0103	times:holidays	high	The story is explicitly set over Shabbat (ביום ו׳ עש״ק, שבת קודש), with the Besht praying Mincha, Maariv, Shacharit, and Musaf there — Shabbat is central to the plot, not incidental.
Peer-MiKdoshim_0006	ethics-and-emotions:joy	high	Joy is explicitly and repeatedly depicted as central to key narrative moments: the betrothal celebration ('השמחה פרשה לה כנפים בכל העיר'), the Hasidim rejoicing at the tzaddik's happiness ('וישמחו לראות שמחת הצדיק ועליצות לבבו'), the merchant's overwhelming joy upon recounting his miraculous rescue ('ומה רבו שמחתו'), and the wedding feast concluded 'שמח וטוב לב' — joy is a substantive, recurring presence throughout the story.
Khal-Hasidim_0002	social:retrospective_recognition	high	A central structural element of the story is that Israel (the Besht) systematically conceals his true identity and greatness — first as a servant in the study hall, then as a disguised pauper before Rav Gershon — and multiple characters (the community, Rav Gershon, the robbers) must retrospectively reckon with who he actually was, as when Rav Gershon is stunned to realize the raggedly-dressed stranger presenting betrothal papers is his father's chosen match.
Khal-Hasidim_0185	ethics-and-emotions:repentance	high	The story centrally depicts repentance: the boy repeatedly feels remorse (ויתמרמר) over his near-apostasy and ultimately overcomes his evil inclination to return, while the Maggid supernaturally facilitates this by teaching Torah seven times on the verse 'נפש כי תחטא' (the quintessential sin/repentance verse), making teshuvah the explicit theological and narrative core of the story.
Shivhei-Habesht_0034	ethics-and-emotions:humility	high	The story climaxes with the Besht explicitly bowing his head to receive a blessing from the Maggid — the healer humbling himself before the one he healed — a direct and central depiction of humility.
Maase-Zadikim_0001	characters-and-roles:baal_shem	high	The Baal Shem Tov (הבעש״ט) is a central, active character in the story — he dispatches the scholar on a mission, reveals the doctrine of gilgul, and the scholar becomes his disciple.
Shivhei-Habesht_0210	ethics-and-emotions:anger	high	The father (R' Mikhl of Zlotchov) arrives at the heavenly court 'ברעש גדול ובזעקה גדולה' (with great tumult/rage and great outcry) to protest the planned burning of holy books — a clear, foregrounded depiction of righteous anger.
Khal-Hasidim_0169	social:retrospective_recognition	high	The story's central dramatic arc is the young man's failure to recognize the greatness of R' Baruch and R' Ephraim at the moment of their emergence, followed by his forced retrospective recognition of that error through R' Leib's public rebuke and permanent rejection.
Shivhei-Habesht_0015	ethics-and-emotions:fear	high	Fear is explicitly named and central to the story: the Besht delays prayer because he fears (יראתי) the Satan will intercept the prayers, and he deliberately breaks R' David's heart to prevent fearful/alien thoughts from entering him during the Amidah.
