tag	n_before	n_after_storylevel	delta
supernatural:perception	295	292	-3
social:inter_hasidic_master_disciple_relationship	0	209	209
practice:prayer	0	167	167
supernatural:prognostication	122	121	-1
ethics-and-emotions:prohibitions	118	119	1
women:minor_character	125	103	-22
practice:study	105	102	-3
social:relations_with_non_jews	0	100	100
women:mention_only	0	99	99
social:relations_with_non_hasidim	0	87	87
supernatural:communicating_with_the_invisible	29	87	58
practice:protection	85	84	-1
supernatural:magic	85	83	-2
social:conflict	0	81	81
ethics-and-emotions:punishment	81	80	-1
characters-and-roles:the_family_of_the_tsaddik	78	75	-3
ethics-and-emotions:fear	77	75	-2
ethics-and-emotions:repentance	71	71	0
times:death	73	71	-2
practice:travel_to_the_tsaddik	70	69	-1
social:retrospective_recognition	0	69	69
ethics-and-emotions:sadness	70	67	-3
knowledge:esoteric	66	66	0
practice:sermon	66	64	-2
social:inter_hasidic	0	63	63
practice:healing	63	61	-2
practice:tvilah	41	61	20
social:relations_with_the_authorities	0	61	61
ethics-and-emotions:anger	55	55	0
ethics-and-emotions:virtues	52	52	0
times:shabbat	53	52	-1
practice:storytelling	53	51	-2
women:catalyst_character	0	51	51
practice:recitation_of_psalms	1	44	43
ethics-and-emotions:charity	42	41	-1
experience:dream	42	41	-1
spaces:heaven	39	39	0
times:holidays	39	38	-1
folkloristics:story_type_rapprochement	37	37	0
social:marital_relationship	0	36	36
folkloristics:story_type_prognostication	35	35	0
social:marriage	0	34	34
women:major_character	54	34	-20
ethics-and-emotions:humility	0	33	33
experience:revelation	35	33	-2
practice:reception_of_hasidim	34	32	-2
characters-and-roles:hidden_righteous	32	31	-1
characters-and-roles:demons	0	30	30
ethics-and-emotions:joy	31	30	-1
kabbalah	31	30	-1
practice:fasting	24	30	6
supernatural:light_or_fire_as_a_sign_of_righteousness	31	29	-2
not-a-hasidic-story:hagiography	28	28	0
supernatural:miracle	29	28	-1
supernatural:reincarnation	28	28	0
practice:lifesaving	27	27	0
practice:meditation	27	27	0
practice:asceticism	26	26	0
characters-and-roles:angels	0	25	25
ethics-and-emotions:adultery	25	25	0
practice:drinking_alcohol	14	24	10
spaces:the_land_of_israel	25	24	-1
ethics-and-emotions:shame	23	23	0
experience:enthusiasm	24	23	-1
practice:pidyon_nefesh	7	23	16
practice:smoking	20	23	3
social:disobedience	0	23	23
times:historical_event	24	23	-1
ethics-and-emotions:lust	22	22	0
practice:devekut	23	22	-1
practice:healing_of_the_soul	22	22	0
social:poverty	0	22	22
spaces:mikveh	23	22	-1
supernatural:pregnancy	22	22	0
practice:tefillin	0	21	21
ethics-and-emotions:lying	20	20	0
experience:devekut	21	20	-1
folkloristics:story_type_virtues	20	20	0
practice:releasing_agunot	7	20	13
practice:ritual_slaughtering	1	20	19
practice:music	4	19	15
practice:solitude	19	19	0
times:birth	19	19	0
experience:visions	17	18	1
folkloristics:story_type_death_of_the_tsaddik	18	18	0
folkloristics:story_type_protection	18	18	0
practice:dance	19	18	-1
characters-and-roles:ritual_slaughterer	17	17	0
experience:journey_to_heaven	17	17	0
kabbalah:kabbalistic_terms_yihudim	17	17	0
not-a-hasidic-story:sermon	17	17	0
practice:pilgrimage_to_the_graves_of_tsaddikim	10	16	6
social:competition	0	16	16
social:inter_hasidic_inheritance_of_leadership	0	16	16
practice:use_of_holy_names	13	15	2
ethics-and-emotions:pride	14	14	0
practice:circumcision	0	14	14
characters-and-roles:elijah_the_prophet	14	13	-1
characters-and-roles:preacher	13	13	0
folkloristics:story_type_advent	13	13	0
practice:travel_to_other_tsaddik	13	13	0
supernatural:contraction_of_the_road	13	13	0
practice:pidyon_shvuyim	0	12	12
social:converts_and_conversion	0	12	12
social:relations_with_sinners	0	12	12
kabbalah:kabbalistic_terms_kavvanot	11	11	0
ethics-and-emotions:awe	10	10	0
practice:coping_with_alien_thoughts	10	10	0
practice:halakhah	0	10	10
practice:sexual_abstinence	10	10	0
practice:the_travels_of_the_tsaddik	9	9	0
spaces:hell	9	9	0
practice:business_advice	9	8	-1
practice:writing_amulets	6	8	2
times:inauguration	8	8	0
characters-and-roles:agunah	7	7	0
characters-and-roles:angel_of_death	0	7	7
social:divorce	0	7	7
social:inter_hasidic_conflict_between_tsaddikim	0	7	7
characters-and-roles:messiah	6	6	0
ethics-and-emotions:resisting_temptation	6	6	0
experience:trembling	6	6	0
folkloristics:story_type_birth_of_the_tsaddik	6	6	0
folkloristics:story_type_revelation	6	6	0
not-a-hasidic-story:virtues	6	6	0
practice:clothing	1	6	5
social:excommunication	0	6	6
spaces:beth_midrash	0	6	6
spaces:institutions_hassidic_court	6	6	0
times:eschatology	6	6	0
characters-and-roles:magician	5	5	0
practice:failure	5	5	0
practice:torat_ha_tsaddik	5	5	0
characters-and-roles:sabbatai_zevi	4	4	0
knowledge:secret_texts	4	4	0
practice:joke	4	4	0
spaces:rabbinical_court	4	4	0
characters-and-roles:baal_shem	3	3	0
characters-and-roles:witch	3	3	0
knowledge:practical_kabbalah	3	3	0
practice:redemption_of_captives	11	3	-8
custom	2	2	0
folkloristics:story_type_inauguration	2	2	0
folkloristics:story_type_parable	2	2	0
not-a-hasidic-story	2	2	0
practice:worship_through_corporeality	2	2	0
folkloristics:story_type_ joke	1	1	0
not-a-hasidic-story:halakhah	1	1	0
practice:pidyon_haben	0	1	1
TBD:Unknown	2	0	-2
advent_story	1	0	-1
alien_thoughts	1	0	-1
amulets	1	0	-1
animals	1	0	-1
appearance:death_like	1	0	-1
appearance:shaking	1	0	-1
appearance_shaking	1	0	-1
assistant:scribe	1	0	-1
assistant:scribe,practice:writing_amulets	1	0	-1
assistant:scribe,profession:scribe	1	0	-1
authority	1	0	-1
beverage:alcohol	1	0	-1
body:nails	1	0	-1
book:toldot_yaakov_yosef	1	0	-1
business:leasing	1	0	-1
characters-and-roles:tsaddik_wife	33	0	-33
childhood	1	0	-1
clothing	5	0	-5
clothing:white	1	0	-1
communal-position:ritual_slaughterer	1	0	-1
competition_with_doctor	1	0	-1
complete	7	0	-7
concealment	1	0	-1
confirmation	1	0	-1
coronation	1	0	-1
custom:clothing	6	0	-6
custom:hasidic_custom	22	0	-22
custom:pilgrimage_to_the_graves_of_tsaddikim	10	0	-10
debate	1	0	-1
divination	1	0	-1
double	2	0	-2
economy:currency	1	0	-1
esoteric-knowledge:divine_names	1	0	-1
esoteric-knowledge:prohibition	1	0	-1
ethics-and-emotions:prohibition_to_write	1	0	-1
ethics-and-emotions:virtues_humility	33	0	-33
ethics-and-emotions:virtues_poverty	22	0	-22
experience:communion_with_god	1	0	-1
experience:enlightenment	1	0	-1
experience:mystical	19	0	-19
experience:mystical,appearance_shaking	1	0	-1
experience:mystical:gilui_eliyahu	1	0	-1
financial-support-to-the-tsaddik	1	0	-1
halakhah	24	0	-24
halakhah:circumcision	14	0	-14
halakhah:kosher_slaughtering	18	0	-18
halakhah:prayer	169	0	-169
halakhah:tefillin	24	0	-24
halakhah:tvilah	4	0	-4
mikveh	1	0	-1
non_jewish_property_owner	1	0	-1
possession:horse	1	0	-1
poverty	1	0	-1
practice:asceticism_fasting	1	0	-1
practice:conversing_with_angels	1	0	-1
practice:magic,besht_as_kabbalist	1	0	-1
practice:magic:make_it_rain	1	0	-1
practice:prayer,experience:shaking_during_prayer	1	0	-1
practice:prayer:outside	1	0	-1
practice:prayer:sigh	1	0	-1
practice:ritual_bathing, practice:prayer	1	0	-1
practice:spiritual	1	0	-1
profession:melamed	1	0	-1
profession:scribe	1	0	-1
profession:tavern_keeper	1	0	-1
profession:tavern_keeping,tavern_owner	1	0	-1
property:horse	1	0	-1
radiance	1	0	-1
ritual	1	0	-1
ritual-ablution	1	0	-1
ritual:debate	1	0	-1
ritual:third_meal	1	0	-1
scriptures	1	0	-1
seclusion	2	0	-2
sefarad_custom	1	0	-1
self_esteem	1	0	-1
servant	1	0	-1
social-relations:competition	16	0	-16
social-relations:conflict	81	0	-81
social-relations:converts_and_conversion	13	0	-13
social-relations:disobedience	24	0	-24
social-relations:divorce	7	0	-7
social-relations:excommunication	6	0	-6
social-relations:inter_hasidic	65	0	-65
social-relations:inter_hasidic_conflict_between_tsaddikim	8	0	-8
social-relations:inter_hasidic_inheritance_of_leadership	17	0	-17
social-relations:inter_hasidic_master_disciple_relationship	213	0	-213
social-relations:marital_relationship	36	0	-36
social-relations:marriage	21	0	-21
social-relations:marriage_matchmaking	31	0	-31
social-relations:retrospective_recognition	69	0	-69
social-relations:with_non_hasidim	89	0	-89
social-relations:with_non_jews	96	0	-96
social-relations:with_non_jews_hostility_against_jews	37	0	-37
social-relations:with_sinners	12	0	-12
social-relations:with_the_authorities	62	0	-62
spaces:institutions_beth_midrash	6	0	-6
spiritual_ascension	1	0	-1
supernatural:angel_of_death	7	0	-7
supernatural:angels	25	0	-25
supernatural:conversing_with_the_dead	70	0	-70
supernatural:demons	31	0	-31
supernatural:mystical_vision	10	0	-10
tsaddik_protection	1	0	-1
tsaddik_relations_with_criminals	1	0	-1
